[29036:55964:0220/135210.591:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[29036:44108:0220/135210.644:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[29036:55964:0220/135210.668:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[29036:55964:0220/135213.481:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[16700:39732:0220/135214.868:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-C01D6358C080560ED94248634D179D05 will be ignored
[29036:55964:0220/154248.034:ERROR:device_event_log_impl.cc(196)] [15:42:48.027] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[29036:31688:0220/164311.042:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164316.042:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164325.048:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164328.039:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164329.053:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164330.053:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164331.042:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164343.055:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164344.045:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164350.054:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164353.058:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164354.048:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164358.062:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164402.062:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164407.056:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164410.059:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=83})
[29036:31688:0220/164411.064:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164413.060:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=83})
[29036:31688:0220/164414.059:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164419.071:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164420.062:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164423.069:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164424.072:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164426.068:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164428.065:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164429.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164431.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164438.072:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164441.077:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164442.074:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164445.082:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164446.074:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164450.084:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164451.079:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164452.079:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164454.076:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164455.083:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=83})
[29036:31688:0220/164502.087:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=82})
[29036:31688:0220/164504.088:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164505.091:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164506.082:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[25340:18452:0220/164506.082:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[25340:18452:0220/164506.089:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/164506.089:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[25340:18452:0220/164506.103:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/164506.103:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/164506.103:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[29036:31688:0220/164509.089:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164510.086:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164511.092:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164517.091:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164523.098:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164526.099:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164529.102:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164533.103:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164534.105:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164535.099:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164536.101:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164545.103:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164546.105:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164550.112:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164555.111:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164600.110:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164606.110:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164607.118:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164608.111:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164611.117:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164616.120:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164619.116:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164620.119:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164621.115:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164623.124:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164626.121:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=81})
[29036:31688:0220/164630.124:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164636.130:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164644.131:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164645.125:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164648.123:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164649.126:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164659.137:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164710.133:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164717.136:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164718.144:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164719.142:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164723.142:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164724.147:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164730.144:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164732.143:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164737.155:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164738.149:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164739.145:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164743.154:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164744.151:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164745.150:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164746.152:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164748.157:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164749.157:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[25340:18452:0220/164750.042:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[25340:18452:0220/164750.045:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/164750.046:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[25340:18452:0220/164750.053:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/164750.053:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/164750.053:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[29036:31688:0220/164750.154:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164757.161:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164801.157:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164804.157:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164810.166:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164812.162:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164814.164:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164815.162:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164819.171:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164820.173:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164823.173:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164824.167:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164825.176:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164828.174:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164832.174:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164835.174:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164845.179:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164848.186:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164851.188:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164854.184:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164855.181:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164858.188:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164859.191:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164908.185:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164917.194:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164920.201:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164927.205:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164929.207:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164930.206:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164935.211:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164936.202:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164937.205:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164942.205:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164943.205:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=76})
[29036:31688:0220/164944.216:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164945.211:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=76})
[29036:31688:0220/164946.206:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164947.206:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=76})
[29036:31688:0220/164948.210:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164949.210:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=76})
[29036:31688:0220/164950.209:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/164952.212:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/164953.212:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164955.220:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/164956.214:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/164957.214:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
[29036:31688:0220/165002.222:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/165009.220:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=76})
[29036:31688:0220/165011.218:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[29036:31688:0220/165019.226:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=79})
[29036:31688:0220/165020.229:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/165021.233:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=77})
[25340:18452:0220/165026.725:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[25340:18452:0220/165026.728:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/165026.729:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[25340:18452:0220/165026.735:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/165026.735:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[25340:18452:0220/165026.735:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[29036:31688:0220/165029.230:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=78})
[29036:31688:0220/165030.235:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053FC0017ED40}, {new_limit=80})
