[44236:44240:0213/213217.974:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[44236:44700:0213/213218.021:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[44236:44240:0213/213218.044:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[44236:44240:0213/213220.701:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[20588:42848:0213/213221.687:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-2EA7CC29B99CA042DDF1DA871319619B will be ignored
[44236:44240:0213/213224.722:ERROR:device_event_log_impl.cc(196)] [21:32:24.719] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[44236:44704:0213/231749.788:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231753.801:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/231754.796:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231755.821:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/231756.800:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231759.835:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/231800.869:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/231802.806:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/231804.796:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231805.839:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=66})
[44236:44704:0213/231806.809:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=65})
[44236:44704:0213/231809.798:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=63})
[44236:44704:0213/231818.814:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=62})
[44236:44704:0213/231819.802:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=63})
[44236:44704:0213/231834.809:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=64})
[44236:44704:0213/231839.821:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=65})
[44236:44704:0213/231840.818:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=64})
[44236:44704:0213/231841.819:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=65})
[44236:44704:0213/231843.891:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231845.860:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231846.815:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/231847.878:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/231850.818:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=76})
[44236:44704:0213/231851.891:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/231853.874:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=76})
[44236:44704:0213/231855.820:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[5084:44900:0213/231857.555:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[5084:44900:0213/231857.558:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[5084:44900:0213/231857.559:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[5084:44900:0213/231857.577:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[5084:44900:0213/231857.577:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[5084:44900:0213/231857.577:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[44236:44704:0213/231858.857:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/231859.836:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231900.821:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/231904.888:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/231906.862:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231907.838:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/231908.828:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/231909.831:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/231910.859:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231911.919:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=66})
[44236:44704:0213/231912.842:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231914.868:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=66})
[44236:44704:0213/231918.835:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231919.854:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231920.830:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231921.898:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/231922.894:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231923.890:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/231925.895:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231926.857:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/231927.839:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/231930.076:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231931.464:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/231932.837:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231933.897:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/231935.873:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231938.855:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/231939.851:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/231940.837:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=78})
[44236:44704:0213/231942.884:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/231943.855:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/231945.849:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/231948.897:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/231950.855:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/231951.893:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/231955.856:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/231956.852:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231957.895:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/232000.897:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=66})
[44236:44704:0213/232003.867:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/232004.882:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/232005.881:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/232006.865:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/232007.891:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232008.850:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232009.863:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232010.870:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232011.872:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232012.859:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232013.865:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/232014.863:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/232015.855:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/232019.859:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/232021.871:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232022.919:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232023.878:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232024.870:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/232026.871:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=78})
[44236:44704:0213/232027.883:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/232029.860:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232030.875:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232031.870:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232033.868:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/232035.921:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232036.917:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/232037.872:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232040.906:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232041.865:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232044.894:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232045.927:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232046.888:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232047.915:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232048.866:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232049.900:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232050.879:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=76})
[44236:44704:0213/232051.924:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=78})
[44236:44704:0213/232053.877:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/232055.880:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232056.875:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232057.876:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232058.897:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232059.870:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232102.937:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=76})
[44236:44704:0213/232103.934:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/232105.898:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=78})
[44236:44704:0213/232106.883:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=80})
[44236:44704:0213/232107.935:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=79})
[44236:44704:0213/232108.930:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=78})
[44236:44704:0213/232109.932:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/232110.936:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=76})
[44236:44704:0213/232111.885:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232112.896:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232115.920:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232116.885:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232117.941:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232118.881:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232120.901:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232121.905:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232122.902:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232125.884:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=76})
[44236:44704:0213/232127.916:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232128.914:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/232131.939:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=78})
[44236:44704:0213/232133.077:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=77})
[44236:44704:0213/232133.885:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=75})
[44236:44704:0213/232136.897:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=74})
[44236:44704:0213/232137.893:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=73})
[44236:44704:0213/232138.888:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=72})
[44236:44704:0213/232140.895:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/232141.899:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/232143.897:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/232144.898:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/232145.889:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/232147.906:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/232151.893:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/232152.900:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[5084:44900:0213/232154.331:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[5084:44900:0213/232154.334:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[5084:44900:0213/232154.335:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[5084:44900:0213/232154.342:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[5084:44900:0213/232154.342:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
